Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 12/25  04:00:00,3.0,18.547546219682605,15.46658291875636,30.872200075935627,3301.3341799952686,0.0
 12/25  05:00:00,3.0,18.549918127622853,15.136519645819433,31.446884049289583,3362.423629118053,0.0
 12/25  06:00:00,3.0,19.915195537623315,15.672246016322623,49.37975157653068,5278.965889593413,0.0
 12/25  07:00:00,2.0,20.16019897692576,15.52469072650355,55.525522140534,5665.852560672224,0.0
 12/25  08:00:00,2.0,20.212111969797576,14.438157173703335,53.78388969087777,5440.192224928094,0.0
 12/25  09:00:00,2.0,20.22154257339926,15.634513276044599,51.57179355171446,5206.180450309276,0.0
 12/25  10:00:00,3.0,20.231141555215313,18.02670124072613,46.86098568202683,4729.235883949737,0.0
 12/25  11:00:00,3.0,20.22389555731132,17.03918906507298,47.33816631746509,4775.922669313931,0.0
 12/25  12:00:00,3.0,20.22915692472831,18.485887665166633,42.707854276371435,4309.956388953024,0.0
 12/25  13:00:00,4.0,20.231215793386845,19.646754069466297,39.26547732158504,3961.9227014991784,0.0
