Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 11/04  14:00:00,9.891666666666667,13.933333329999998,0.0,864.0306665201587,0.0,19.23986996286494,25.923464884254326,0.0,0.0,0.0,0.0,100.0,0.0
 11/04  15:00:00,11.241666666666667,13.93888889,0.0,961.1242798109644,0.0,19.70134213682675,24.1752774595931,0.0,0.0,0.0,0.0,0.0,0.0
 11/04  16:00:00,11.991666666666665,13.94444444,0.0,1109.4518181311632,0.0,20.027707538907993,21.589349221827728,0.0,0.0,0.0,0.0,0.0,0.0
 11/04  17:00:00,11.558333333333332,13.94444444,0.0,1255.62320023393,0.0,19.916417577714636,18.087738792605474,0.0,0.0,0.0,0.0,0.0,0.0
 11/04  18:00:00,10.108333333333333,13.950000000000001,0.0,815.6881474577935,0.0,19.47885175036995,14.775086729936424,0.0,0.0,0.0,0.0,100.0,0.0
 11/04  19:00:00,6.483333333333333,13.950000000000001,0.0,699.1732687917703,0.0,18.932945305918135,12.868528617564275,9.251557976171307,0.0,108.87406079766964,4.630627595654179,187.28751215102616,0.0
 11/04  20:00:00,4.3999999999999995,13.955555559999999,0.0,644.887648023909,0.0,18.92799574373787,11.942974954663079,29.754962681751156,0.0,304.8110790799988,37.41127887622573,158.96139834308352,0.0
 11/04  21:00:00,2.183333333333334,13.955555559999999,0.0,569.5460701547053,0.0,18.904979100844347,11.344519667494588,47.68953675263555,0.0,486.2284763037678,54.61993786938439,133.92964412005597,0.0
 11/04  22:00:00,0.8916666666666666,13.955555559999999,0.0,500.6888716385538,0.0,18.927784183829417,10.984440089246421,63.227313205674854,0.0,645.6607085036582,67.50782523278411,112.25284351393253,0.0
 11/04  23:00:00,-0.18333333333333335,13.955555559999999,0.0,342.2498668016529,0.0,18.915873314136096,10.82266909109662,76.50852094807398,0.0,783.3713943351336,74.82995520053204,93.70071019174581,0.0
 11/04  24:00:00,-1.0999999999999999,13.955555559999999,0.0,309.1919837838486,0.0,18.924093615687482,10.580688097097674,89.85646044187222,0.0,921.1491923712797,82.25485895130016,75.0478073110641,0.0
 11/05  01:00:00,-1.7416666666666665,13.955555559999999,0.0,299.1567754952038,0.0,18.92446969511177,10.65613617508309,95.78131084493832,0.0,982.3704854446523,83.71970140282573,66.73275530917304,0.0
 11/05  02:00:00,-2.1999999999999997,13.955555559999999,0.0,276.84089679192556,0.0,18.923202210357065,10.909942050320382,101.82099832407293,0.0,1046.0804681282632,85.64560065326278,58.28728342060703,0.0
 11/05  03:00:00,-2.1999999999999997,13.955555559999999,0.0,273.0192601223466,0.0,18.925104969181593,10.617807986472256,106.93230656007609,0.0,1097.9075773150355,89.95259524269613,51.17359119413094,0.0
 11/05  04:00:00,-2.841666666666667,13.955555559999999,0.0,269.32422835039307,0.0,18.92245866631414,10.320043613604822,115.46390824773805,0.0,1185.224042688984,91.91544720485977,39.24455351743061,0.0
 11/05  05:00:00,-3.3000000000000003,13.96111111,0.0,373.24014543797944,0.0,18.923994024905102,10.00453699698953,124.9984732900512,0.0,1282.6053978086504,95.6760517027149,25.934193849797165,0.0
 11/05  06:00:00,-3.65,13.96111111,0.0,545.6994437864745,0.0,18.924241283537057,9.789936299340882,132.2676819734144,0.0,1356.4731137301117,98.16002218989514,15.787353035410911,0.0
 11/05  07:00:00,-3.899999999999999,13.96111111,0.0,957.7276192879668,0.0,18.92674245625067,9.907204932803191,129.54226576647858,0.0,1328.9296301712625,94.06827121919109,19.566435527944936,0.0
