Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Mains Water Temperature [C](Hourly),INTERIOR LIGHTS:Lights Electricity Rate [W](Hourly),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](Hourly),GAS_MELS1:Gas Equipment NaturalGas Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](Hourly),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](Hourly),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](Hourly)
 01/20  17:00:00,11.266666666666666,7.833333333,0.0,672.9104207145107,0.0,18.77277667144623,12.301567707536984,11.706796485787374,38.124251234450504,0.0,547.5045395082789,0.0,0.0,0.0
 01/20  18:00:00,8.966666666666667,7.827777777999999,0.0,752.996579901811,0.0,18.757387838934623,10.624649466592333,11.73788765704852,45.41987568194707,0.0,632.9718126075448,0.0,132.39852327420496,0.0
 01/20  19:00:00,7.45,7.827777777999999,0.0,680.4496860460332,0.0,18.760899903515373,9.565139840708598,11.697934980542373,55.86914500195626,0.0,765.2030575814942,0.0,150.41848700684164,0.0
 01/20  20:00:00,7.2,7.822222222,0.0,738.4668383773397,0.0,18.766395597561676,8.867984832324064,11.888640877299489,59.669463226755994,0.0,815.1409351956241,0.0,147.04586465089815,0.0
 01/20  21:00:00,7.2,7.816666667,0.0,736.4803047027655,0.0,18.763408921714994,8.085170077963017,11.935195820954016,63.254795601687256,0.0,864.0840451858536,0.0,143.86403318155635,0.0
 01/20  22:00:00,6.908333333333334,7.811111111,0.0,674.7739673132164,0.0,18.7617781521378,8.033834719041964,11.899823688179621,68.27483503060607,0.0,929.5623687504748,0.0,139.4089596313456,0.0
 01/20  23:00:00,6.058333333333334,7.805555556000001,0.0,558.7873115104422,0.0,18.759318386767756,8.022212570120656,11.950112698444864,75.00708271177365,0.0,1011.764964999655,0.0,133.43437337509837,0.0
 01/20  24:00:00,5.25,7.8,0.0,382.076034106072,0.0,18.735864349689155,8.040139464322786,11.63703092204923,92.12087124691685,0.0,1190.7032145963865,18.698523378965024,118.18499843801874,0.0
 01/21  01:00:00,4.3583333333333325,7.8,0.0,369.13181009521674,0.0,18.77109394219005,8.341035615020665,11.627593228802525,127.102826413057,0.0,1412.1698955984439,131.02345621735768,86.62367227325245,0.0
 01/21  02:00:00,3.2583333333333333,7.794444444,0.0,352.1151182357185,0.0,18.75571544001278,8.039209977902368,11.75446477620333,135.89061367671482,0.0,1483.3316245800872,149.61258876879944,78.46121484731437,0.0
 01/21  03:00:00,2.4499999999999997,7.788888889,0.0,330.51331993722835,0.0,18.752497797297764,7.236164206892236,11.393732599726958,154.2603935239133,0.0,1688.0417800502619,159.83370892319726,61.87943489649468,0.0
 01/21  04:00:00,1.2666666666666668,7.783333333000001,0.0,337.68258410649327,0.0,18.760440131266733,5.74200188334379,11.294340186708427,175.1098132539943,0.0,1904.8280509288315,178.6187030828265,42.84186794965286,0.0
 01/21  05:00:00,0.25,7.777777778,0.0,340.12802657420866,0.0,18.769411341774024,4.422008684341501,11.615337047959853,182.75127033173183,0.0,1995.9365540293184,170.72838730073784,35.83435288408645,0.0
 01/21  06:00:00,0.0,7.772222221999999,0.0,351.52712647239196,0.0,18.761665840843865,3.5225519988133396,11.827810993308605,190.1057585666821,0.0,2082.007551801431,170.47140710705196,29.23376769753951,0.0
 01/21  07:00:00,-0.35000000000000003,7.766666667,0.0,391.6459747367035,0.0,18.75693677663794,2.830162631598689,11.589901059650346,207.3606129188383,0.0,2266.3426576993447,185.1343666414829,13.615350984902632,0.0
 01/21  08:00:00,-0.6,7.761111110999999,0.0,504.34473789276484,0.0,18.766312008852363,2.640104479157944,11.380206434726425,213.83008006018133,0.0,2338.835801472396,186.83562924052742,7.764949476334974,0.0
 01/21  09:00:00,-0.6,7.755555556,0.0,596.378008296855,0.0,18.775206389592082,2.8226390189054342,10.832510213931391,178.65013253040055,0.0,1954.7807793651061,155.95342049637318,39.39396526408822,0.0
 01/21  10:00:00,-0.25,7.75,0.0,607.1877628245485,0.0,18.765349850729866,5.165711439419719,10.240125534541072,122.53715880664545,0.0,1368.8771338345516,87.67555356778168,90.1681579860827,0.0
 01/21  11:00:00,0.6416666666666667,7.738888889000001,0.0,630.5862271785817,0.0,18.76488115479492,8.204991167075953,10.031483748123408,102.47842126968744,0.0,1150.1674180048117,74.76832190115165,108.26494186024011,0.0
 01/21  12:00:00,1.7416666666666665,7.733333333,0.0,637.5513591158333,0.0,18.764578433698002,10.764045775613814,9.887603046279638,92.59341515467311,0.0,1029.257156835072,80.98616159427635,117.11905845511194,0.0
 01/21  13:00:00,2.841666666666667,7.727777778000001,0.0,697.3032597916118,0.0,18.767878294418217,13.036070897837817,9.922936666064485,76.48915336388158,0.0,859.0436214496049,65.58247775551389,131.67000588304361,0.0
 01/21  14:00:00,3.65,7.722222222,0.0,730.9309253027877,0.0,18.741891589821368,14.155176813242804,9.870610258099326,70.20153697478179,0.0,808.8582339570653,49.513073251794545,137.4345873656994,0.0
 01/21  15:00:00,4.191666666666666,7.716666666999999,0.0,725.5817526791175,0.0,18.76693053892704,13.808481827724513,9.828684416420671,68.72670143708707,0.0,798.2742837650704,46.683409785051474,138.8007674025715,0.0
 01/21  16:00:00,4.75,7.711111111,0.0,746.3081990981397,0.0,18.784322412646528,13.112214487650576,9.993261602817695,59.06614427248763,0.0,697.1067361470901,35.18447527934942,147.45510712567452,0.0
 01/21  17:00:00,5.0,7.705555556,0.0,823.0632918273469,0.0,18.753655028985367,11.803829922035348,10.097414349702737,69.05558952656627,0.0,805.0532599517277,48.70190944936775,138.55979480850047,0.0
 01/21  18:00:00,4.3583333333333325,7.7,0.0,921.0198337107632,0.0,18.765643995460024,9.845781671965787,10.272660263037219,86.79371652535379,0.0,996.3642192628386,67.85916957034256,122.68694006321685,0.0
 01/21  19:00:00,3.2583333333333333,7.694444443999999,0.0,832.2848647896648,0.0,18.764386029625697,7.541309608823055,10.482231869667833,102.35618850567022,0.0,1180.330215312006,68.89935861014152,108.75359634514881,0.0
 01/21  20:00:00,2.158333333333333,7.694444443999999,0.0,903.2479334393521,0.0,18.773662097718738,6.14825974648456,10.815728231917538,121.02188742775336,0.0,1373.5928765665328,88.62291457748255,91.8958887677163,0.0
 01/21  21:00:00,1.3500000000000003,7.688888889,0.0,900.8181257038963,0.0,18.75867882708877,5.094914455053462,11.132243190621422,140.44793624679662,0.0,1576.8092866049253,108.0211058546521,74.3492086797347,0.0
 01/21  22:00:00,0.4583333333333333,7.688888889,0.0,825.3426692166521,0.0,18.761593897570364,4.071562626349876,11.257122417350926,161.73048625499308,0.0,1812.7777817521135,117.73814596792973,55.18108426466006,0.0
 01/21  23:00:00,-0.6416666666666667,7.683333333,0.0,683.4748131181976,0.0,18.754984107103162,3.3128716989121614,11.394384103166631,183.5670988320711,0.0,2046.4944794577616,129.65551122568885,35.39671355945695,0.0
 01/21  24:00:00,-1.45,7.677777778,0.0,467.33227585592664,0.0,18.764595650312714,3.0847200825895684,11.321917049970358,195.56192956992152,0.0,2216.2985173716193,100.16627635974538,25.010706930599614,0.0
 01/22  01:00:00,-1.7,7.672222222000001,0.0,439.3975079231746,0.0,18.76007927485955,3.6480202703287357,11.297501095116017,207.85590796257895,0.0,2341.7540406400985,113.98696873241816,13.830765015518246,0.0
 01/22  02:00:00,-1.9916666666666671,7.672222222000001,0.0,419.141621565856,0.0,18.767982982066247,4.550218994744647,11.555321288709907,210.36552116146402,0.0,2350.2190896112534,127.58842522781659,11.31393624967295,0.0
 01/22  03:00:00,-2.5500000000000003,7.666666667,0.0,393.4278356513684,0.0,18.7630345864701,4.948939857882112,11.723519418719095,212.49118370762892,0.0,2377.3363589135342,118.45305395262379,9.43771608836238,0.0
 01/22  04:00:00,-3.0916666666666663,7.661111110999999,0.0,401.9617975681301,0.0,18.765034862843546,4.604108458283092,11.68302816693298,216.55802587620943,0.0,2435.9819365711014,102.0994364333286,6.000570734357457,0.0
 01/22  05:00:00,-3.3000000000000003,7.661111110999999,0.0,404.87273966712314,0.0,18.763651595310645,4.774512030332494,11.7254482400564,219.36503473856456,0.0,2461.6911662543685,105.2561807895234,3.40072896595159,0.0
 01/22  06:00:00,-3.3000000000000003,7.661111110999999,0.0,418.4417032482815,0.0,18.76534640668243,4.797653004706563,11.545155222580911,220.12721521272408,0.0,2475.127536669428,101.5439402751977,2.7957322190833764,0.0
 01/22  07:00:00,-3.65,7.661111110999999,0.0,466.19733271716797,0.0,18.7649775545008,5.3172637840429005,11.782104561073922,222.32437530770332,0.0,2507.782142063655,89.04952117478096,1.1420441983522618,0.0
 01/22  08:00:00,-4.191666666666666,7.655555556,0.0,600.3487505102429,0.0,18.765530131477984,5.673088175887245,12.242827803432881,220.69078998311383,0.0,2478.131002454794,91.18996910629134,2.3078303936667655,0.0
 01/22  09:00:00,-4.75,7.655555556,0.0,709.9009173937894,0.0,18.774321752767943,6.208657066002492,12.251627098369491,199.62718975651376,0.0,2243.7096609294063,73.2380896246731,21.27872865327196,0.0
 01/22  10:00:00,-4.3583333333333325,7.655555556,0.0,722.7683513857411,0.0,18.765845871707143,8.738805659999965,12.006471288137915,147.30827516057752,0.0,1664.2842913381085,50.327130540159885,68.24109511477691,0.0
 01/22  11:00:00,-3.2583333333333333,7.655555556,0.0,750.6208058348428,0.0,18.765261034248883,12.450211809820814,11.745914367111162,100.37493110325921,0.0,1145.0770358528746,33.05437918149931,110.32646490022351,0.0
 01/22  12:00:00,-1.8083333333333333,7.6499999999999995,0.0,758.9117781430677,0.0,18.765211058122734,16.370895993060575,11.460038279680058,64.94800351669879,0.0,752.8412720660957,18.466850254911147,142.08612927516887,0.0
 01/22  13:00:00,-0.1083333333333334,7.6499999999999995,0.0,830.0376890848471,0.0,18.772661041084955,18.998538519351616,11.306988076529848,47.55858416783056,0.0,552.1784859616924,18.63703618572295,157.57930255012516,0.0
 01/22  14:00:00,1.2416666666666667,7.6499999999999995,0.0,870.0665135285418,0.0,18.767303021344635,19.333195213721883,11.058622652532534,38.60545286235805,0.0,452.388759480587,15.763979582240829,165.59390385951158,0.0
 01/22  15:00:00,1.9916666666666671,7.6499999999999995,0.0,863.6991047709893,0.0,18.762558718933924,17.56457148352133,10.872091009979107,38.254044747830804,0.0,449.5886100240077,16.643635115196506,165.92079576676585,0.0
 01/22  16:00:00,2.841666666666667,7.6499999999999995,0.0,888.37091211881,0.0,18.76527154850316,14.510514945844482,10.854814561794043,41.577317083204605,0.0,485.2613712863884,22.966887276105325,162.95281485198262,0.0
 01/22  17:00:00,3.3000000000000003,7.6499999999999995,0.0,979.7366398704398,0.0,18.764665439205267,11.610799918382957,11.062888872163677,58.292097599161,0.0,679.7615699937138,34.34541123835516,148.06870128112305,0.0
 01/22  18:00:00,3.008333333333333,7.6499999999999995,0.0,1096.3395963516023,0.0,18.76462436858236,9.230073770851513,11.103679774015744,78.40321266367415,0.0,908.2134201805653,48.76628976941055,130.1113424777497,0.0
