Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil NaturalGas Rate [W](Hourly),HEATING_FUEL_MAIN:Heating Coil Electricity Rate [W](Hourly)
 07/18  08:00:00,23.0,23.397356562781358,25.433505930307344,23.82720532453789,12.059112330770018,0.0,0.0
 07/18  09:00:00,25.4,23.474118248385555,31.332140556416558,24.157795772687813,23.634142800664325,0.0,0.0
 07/18  10:00:00,27.8,23.542803293268026,35.59935461685579,24.924813172355204,36.94204296177373,0.0,0.0
 07/18  11:00:00,29.6,23.583299042020453,38.05739782326505,25.469528911678747,48.68117756369277,0.0,0.0
 07/18  12:00:00,31.5,23.598633830388525,39.71072272285966,26.310178406357092,58.36168382058419,0.0,0.0
 07/18  13:00:00,33.3,23.630082060324813,40.41178983023832,27.478069448195143,68.36168120010903,0.0,0.0
 07/18  14:00:00,34.2,23.538455774236912,40.46806471799946,27.501640905362937,79.02742356835171,0.0,0.0
 07/18  15:00:00,35.2,23.488445445769955,40.30705674002513,28.60717512752421,87.27841073274882,0.0,0.0
 07/18  16:00:00,36.1,23.34001179761952,39.78616679108366,28.288706819281376,90.83202210037042,0.0,0.0
 07/18  17:00:00,33.5,23.288399464367565,37.3364243795588,27.683897773938817,85.73804215812481,0.0,0.0
 07/18  18:00:00,30.9,23.207950821772762,34.293725322604494,26.922410817536537,76.69116716712317,0.0,0.0
 07/18  19:00:00,28.3,23.14807376860194,30.869511437508773,26.066915649405896,64.10309854803701,0.0,0.0
 07/18  20:00:00,26.1,23.12854510070403,27.588820894751706,25.40156518630037,46.87024217016652,0.0,0.0
 07/18  21:00:00,23.9,23.15486948925545,24.603241313149816,24.823934399861294,30.966774459506965,0.0,0.0
 07/18  22:00:00,21.7,23.202396944535025,22.080800704994225,24.362293708205975,20.207846793531434,0.0,0.0
 07/18  23:00:00,19.8,24.25764867196126,20.227455179339056,23.725368401933967,2.6398525566254776,0.0,0.0
 07/18  24:00:00,18.0,24.261074726685028,18.57903867226515,23.320438226736936,0.0,0.0,0.0
 07/19  01:00:00,16.1,23.77201242412794,16.938735543030653,23.270343017713994,0.0,0.0,0.0
 07/19  02:00:00,15.4,23.48522288396583,15.368593879416894,23.39436112007789,0.0,0.0,0.0
 07/19  03:00:00,14.6,22.992613938195937,13.950709801903901,23.97539571459365,0.0,0.0,0.0
 07/19  04:00:00,13.9,22.481055364070237,12.46196761737071,24.58817585183256,0.0,0.0,0.0
 07/19  05:00:00,15.6,22.266919194849525,11.577922558152316,23.96563690139467,0.0,0.0,0.0
 07/19  06:00:00,17.2,22.458453891627432,12.713814939143647,23.504430379562262,0.0,0.0,0.0
 07/19  07:00:00,18.9,23.131027493169178,16.926084858177063,23.230008113111488,0.0,0.0,0.0
 07/19  08:00:00,20.9,23.316913494069905,22.748415491557317,23.40660077140362,6.920017953350915,0.0,0.0
 07/19  09:00:00,23.0,23.423192584126827,27.943721637019646,23.82312013299835,15.987889531844296,0.0,0.0
 07/19  10:00:00,25.0,23.493844011416023,32.258876737094376,24.46360554818748,29.71381102026956,0.0,0.0
 07/19  11:00:00,27.2,23.54298148732507,35.90352295776844,25.239919958644382,41.806307263415995,0.0,0.0
 07/19  12:00:00,29.5,23.573417633681984,38.52865675680064,26.00881415577845,52.16031915632702,0.0,0.0
 07/19  13:00:00,31.7,23.565371496862245,40.53848035070348,26.64572479863823,62.25930003408745,0.0,0.0
 07/19  14:00:00,33.2,23.640075634676478,40.06545351860753,27.429300830861237,73.7565217991429,0.0,0.0
 07/19  15:00:00,34.6,23.66356963391215,39.008126125925365,28.931721289310882,86.35202310442851,0.0,0.0
 07/19  16:00:00,36.1,23.583282550938957,38.030868276853965,30.028700013756858,97.80538647368104,0.0,0.0
 07/19  17:00:00,33.9,23.321847704638504,35.766682563924505,29.07237774427507,96.82019612099593,0.0,0.0
 07/19  18:00:00,31.6,23.144668673046613,33.09996973177582,27.852687732823426,84.9580739275506,0.0,0.0
 07/19  19:00:00,29.4,23.133462525333865,30.20767679145503,27.107273092789956,68.03849753364788,0.0,0.0
 07/19  20:00:00,27.2,23.057992879488534,27.4773095450549,26.022597977029072,49.37625098708593,0.0,0.0
 07/19  21:00:00,25.0,23.10194769436184,24.945624321480754,25.249535324029118,32.724527026344894,0.0,0.0
 07/19  22:00:00,22.8,23.184552098126098,22.608295504710522,24.75604102299864,21.288597481675865,0.0,0.0
 07/19  23:00:00,20.6,24.259854563537772,20.817858735091686,24.188910751626945,3.449313612079196,0.0,0.0
 07/19  24:00:00,18.3,24.259333667158185,18.96282565279523,23.528834282131182,0.706693707612371,0.0,0.0
 12/15  01:00:00,1.7,18.442108261445178,14.903908656253039,15.298122078294854,15.063046910129566,1925.788228118724,0.0
 12/15  02:00:00,1.1,18.442857283235057,15.165859781109734,16.25822123658639,15.287237827954492,1975.1614934259878,0.0
 12/15  03:00:00,2.2,18.45822086685081,15.930148775228563,16.49299946877166,15.670993266113703,2017.7278831252659,0.0
 12/15  04:00:00,1.7,18.45977903664698,15.23003942706608,15.567406858936,16.138558228860255,2075.477536048363,0.0
 12/15  05:00:00,1.7,18.446418990975413,14.350157993093958,14.402596545150105,17.742341755606468,2288.811236142646,0.0
 12/15  06:00:00,1.7,19.775307151617948,16.462551146671558,16.45431876809971,26.56852546128042,3442.584966228234,0.0
 12/15  07:00:00,2.2,20.052248255823713,14.75616308832393,13.842350653652149,29.240482161831522,3614.4556189745017,0.0
 12/15  08:00:00,1.1,20.08283283454559,14.52656109085908,13.852650516558699,30.584068629486723,3786.5320985525836,0.0
 12/15  09:00:00,1.7,20.14736343577685,16.84311851769513,15.898664329796443,24.518464378641028,3031.905407677721,0.0
 12/15  10:00:00,3.3,20.183634432866516,17.206926451280893,14.687813946950927,18.54824900592781,2271.107683268299,0.0
 12/15  11:00:00,4.4,20.212455179339685,21.143053459061818,16.40051088633478,11.505300411296648,1413.9492751062078,0.0
 12/15  12:00:00,5.6,20.1297776491907,19.88595262493969,14.069574570871799,10.486228074572532,1279.5418253528053,0.0
 12/15  13:00:00,7.2,20.183270470780013,26.922187962420175,16.72887489189828,4.8505054801185805,598.8337320660656,0.0
 12/15  14:00:00,8.3,20.279574212836057,26.296923394656787,16.873634951941657,1.6361594822542649,199.65348121229735,0.0
 12/15  15:00:00,8.9,20.645664646162246,20.988406022874315,17.52233355604683,0.0,0.0,0.0
 12/15  16:00:00,7.2,20.350477263853854,23.381076313620152,16.13525121158901,0.3957635756913833,47.467161567458966,0.0
 12/15  17:00:00,5.6,20.213097888925915,19.95140251344189,16.359538460970803,5.977623332275168,727.6249051048081,0.0
 12/15  18:00:00,5.0,20.13782079372934,18.32505875170917,15.97952016165965,9.032925563635322,1103.3184221137626,0.0
 12/15  19:00:00,5.0,20.09813348302009,17.242041775961106,16.291960604326764,9.243408050011457,1133.2985990440459,0.0
 12/15  20:00:00,3.3,20.088718271213082,17.00412045328611,17.231238782716275,13.968656467487092,1712.8423727021218,0.0
 12/15  21:00:00,2.2,20.094904569318313,16.017027004382342,16.85549894947644,17.740642682835972,2168.160226819986,0.0
 12/15  22:00:00,3.3,20.11678439870091,15.91169529930633,17.01329511811202,18.63295861664694,2279.241922233814,0.0
 12/15  23:00:00,1.7,18.661644317684505,15.422933711544864,16.803722098858056,11.214554887481356,1370.131337388792,0.0
 12/15  24:00:00,0.6,18.470363853708538,15.959102934169222,16.437450449763013,13.286935176297217,1697.7142924112309,0.0
 12/16  01:00:00,0.6,18.44222775805824,15.865601725093628,16.398886472847717,15.661752893321896,2014.3679776659055,0.0
 12/16  02:00:00,0.6,18.439065119024647,15.065225298180456,16.287997572442663,17.474446494425035,2249.146264624428,0.0
 12/16  03:00:00,0.0,18.435260574459324,14.360369610581861,16.1873131748502,19.42308594814301,2500.71251908187,0.0
 12/16  04:00:00,-0.6,18.433452671604424,13.807206354095673,16.081302733840612,21.210957790099393,2731.5964241244446,0.0
 12/16  05:00:00,-0.6,18.42963331854954,12.40951943338774,13.181165765968931,23.28077956870939,2998.7293326823933,0.0
 12/16  06:00:00,-1.1,19.67650197284087,11.920250883017703,12.73293636088121,37.443001742785754,4872.399860686625,0.0
 12/16  07:00:00,-1.1,20.008538293752267,14.378026637080898,16.120445579726475,37.55593415696573,4717.99547542782,0.0
 12/16  08:00:00,-1.1,20.10988379050094,14.04569160004515,15.852930214659176,35.278064876228136,4330.467372326398,0.0
 12/16  09:00:00,-0.6,20.143139287677954,15.519876037365824,14.131213883811013,30.291477175533306,3710.173248316519,0.0
 12/16  10:00:00,0.6,20.159669586793214,17.830719207502913,14.870553029606132,25.30772714066488,3117.0743659181235,0.0
 12/16  11:00:00,1.7,20.171337214273343,21.520745456979093,16.19124820288573,19.553134010838743,2400.4009623914976,0.0
 12/16  12:00:00,2.8,20.13440096370834,24.025706050631328,15.966107238283598,13.908191056970008,1698.6088324401487,0.0
 12/16  13:00:00,4.4,20.200271368582744,25.774478198069712,16.24977714428427,9.358298467805687,1145.635964144429,0.0
 12/16  14:00:00,6.1,20.23606188129857,26.712892657368084,16.378624357952877,5.926269491364405,723.5322438666955,0.0
 12/16  15:00:00,7.8,20.25999816425645,25.70000807497875,16.523933696646445,4.111801590160231,501.46527967004306,0.0
 12/16  16:00:00,5.6,20.228776763813187,22.794173284072567,15.140078660909964,5.7303444009744195,698.2511784429186,0.0
