Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/19  20:00:00,11.1,7.033333333333334,0.0,0.0,0.0,25.48787417790504,11.541092161533703,13.139816081470386,0.0,0.0
 10/19  21:00:00,9.9,7.075,0.0,0.0,0.0,25.413880108987417,10.565726309760855,12.64840555139103,0.0,0.0
 10/19  22:00:00,8.058333333333334,5.891666666666667,0.0,0.0,0.0,25.175653873640893,9.448457470200074,12.344922549231597,0.0,0.0
 10/19  23:00:00,5.875,3.725,0.0,0.0,0.0,24.957822906563578,8.436983321860664,12.276139272170333,0.0,0.0
 10/19  24:00:00,4.650000000000001,3.1,0.0,0.0,0.0,24.684257095170285,7.472436960412769,12.493453097400243,0.0,0.0
 10/20  01:00:00,3.35,3.391666666666667,0.0,0.0,0.0,25.49643104131148,8.048247979189632,12.825200749351788,43.01878622094376,3590.349507204502
 10/20  02:00:00,2.8333333333333335,3.891666666666667,0.0,0.0,0.0,25.53900141115828,6.3136131209451785,11.529865348467832,0.0,0.0
 10/20  03:00:00,2.7083333333333335,3.8083333333333336,0.0,0.0,0.0,25.01609314878299,7.088242384867873,11.526240374252332,41.09901369668709,3430.1252205170726
 10/20  04:00:00,2.1500000000000004,3.891666666666667,0.0,0.0,0.0,24.90135354478244,5.943952227627221,11.065671617504941,11.561937697023616,964.9597526912092
 10/20  05:00:00,1.4916666666666665,4.391666666666667,0.0,0.0,0.0,25.24009569559978,5.601489229652588,11.023091867257499,28.756277549884874,2400.0
 10/20  06:00:00,0.85,3.725,0.0,0.0,0.0,25.378630244211262,5.70565401060762,11.708215474286725,47.96661810641928,4003.2957414499288
 10/20  07:00:00,0.48333333333333334,2.5166666666666666,13.17780411307207,0.0,0.0,25.087167039819477,4.948968168208885,11.75609807180303,0.0,0.0
 10/20  08:00:00,0.5750000000000001,1.75,29.60226002176465,0.0,0.0,25.676500101526866,8.972230002950136,13.261840670515468,30.772912199465775,2568.3084032903116
 10/20  09:00:00,2.216666666666667,2.1416666666666666,27.74491106457045,0.0,0.0,24.8301928143996,11.045050630106973,12.602094099160674,5.794909554028179,483.6433681494811
 10/20  10:00:00,4.116666666666666,2.6,21.622533922015688,0.0,0.0,25.49436359195177,14.771673912923271,12.845662827918952,23.0050220399079,1920.0
 10/20  11:00:00,6.333333333333333,2.891666666666667,20.290148120131363,0.0,0.0,24.710152166490435,15.31564813177602,12.783321289563915,0.0,0.0
 10/20  12:00:00,8.025,2.8083333333333336,23.001251551981706,0.0,0.0,25.300128441435863,18.754870791160638,13.709331733396327,26.853069562819826,2241.158190206215
 10/20  13:00:00,10.558333333333334,1.9583333333333333,30.01115727177459,0.0,0.0,25.670035858071998,22.36558187073855,13.858566146483218,0.0,0.0
 10/20  14:00:00,11.866666666666667,2.1416666666666666,36.18297234154923,0.0,0.0,25.73070879435905,25.220647884541496,14.119515524504754,0.0,0.0
 10/20  15:00:00,12.516666666666666,3.766666666666667,33.90498522226515,0.0,0.0,25.863085767589393,22.573507618671155,14.019390217355499,0.0,0.0
 10/20  16:00:00,12.049999999999999,4.308333333333334,27.58912017260811,0.0,0.0,26.050686882738262,18.863061476684578,13.794267993968873,0.0,0.0
