Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Mains Water Temperature [C](TimeStep),INTERIOR LIGHTS:Lights Electricity Rate [W](TimeStep),ELECTRIC_MELS1:Electric Equipment Electricity Rate [W](TimeStep),GAS_MELS1:Gas Equipment NaturalGas Rate [W](TimeStep),LIVING:Zone Mean Air Temperature [C](TimeStep),ATTIC:Zone Mean Air Temperature [C](TimeStep),FAN:Fan Electricity Rate [W](TimeStep),DX_COOLING_COIL:Cooling Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Defrost Electricity Rate [W](TimeStep),DX_HEATING_COIL:Heating Coil Crankcase Heater Electricity Rate [W](TimeStep),HEATING_RESISTANCE_BACKUP:Heating Coil Electricity Rate [W](TimeStep)
 01/05  20:00:00,8.9,8.827777778,0.0,449.71410205278596,0.0,20.879961985669844,12.928221366465248,0.0,0.0,0.0,0.0,200.0,0.0
 01/05  21:00:00,6.7,8.822222222,0.0,449.71410205278596,0.0,20.443131374541036,11.244075591482641,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/05  22:00:00,5.6,8.822222222,0.0,449.71410205278596,0.0,20.0857779618987,9.444213733441664,0.0,0.0,0.0,0.0,199.99999999999997,0.0
 01/05  23:00:00,5.6,8.811111111,0.0,449.71410205278596,0.0,19.756512230531072,7.830589047233392,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/05  24:00:00,5.0,8.805555556,0.0,449.71410205278596,0.0,19.576000449533822,6.841619546339,0.0,0.0,0.0,0.0,200.0,0.0
 01/06  01:00:00,3.9,8.8,0.0,449.71410205278596,0.0,19.264100678166745,5.02221728100407,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/06  02:00:00,3.9,8.794444444,0.0,449.71410205278596,0.0,19.045207267466182,3.392020791258482,0.0,0.0,0.0,0.0,199.99999999999994,0.0
 01/06  03:00:00,5.0,8.788888889,0.0,449.71410205278596,0.0,18.945469219704336,2.435207233302157,0.0,0.0,0.0,0.0,200.0,0.0
 01/06  04:00:00,3.3,8.783333333,0.0,449.71410205278596,0.0,18.6767828003904,1.6695593933711872,0.6658092753477981,0.0,10.707767047362687,1.0062154105871801,199.29041225560846,0.0
 01/06  05:00:00,3.9,8.772222222,0.0,449.71410205278596,0.0,18.614719345037752,1.124858852750894,1.8200199698670525,0.0,29.509558650534267,2.6813182292602056,198.06290815946647,0.0
 01/06  06:00:00,2.8,8.766666667,0.0,449.71410205278596,0.0,19.7042329460689,3.961883801859831,33.25531687435733,0.0,543.0393468878083,48.76398126421673,164.53123932742878,0.0
 01/06  07:00:00,3.3,8.761111111,0.0,449.71410205278596,0.0,19.74245644655941,4.121144464792925,27.04008067090246,0.0,448.20968911782296,38.39052668826699,171.19491460212183,0.0
 01/06  08:00:00,3.3,8.75,0.0,449.71410205278596,0.0,19.721296147448466,4.786582727582921,30.849759404093163,0.0,511.42535891592183,43.799379735632066,167.1365573099948,0.0
 01/06  09:00:00,6.1,8.744444444,0.0,449.71410205278596,0.0,19.72513354024162,6.548458286376798,13.211887233213504,0.0,265.91606158073523,0.0,186.0193626468915,0.0
